CAFE,BEBIDA
BANANA,FRUTA
GATO,ANIMAL DE ESTIMACAO
LIVRO,OBJETO DE LEITURA
SOL,ASTRO LUMINOSO
CARRO,MEIO DE TRANSPORTE
ARVORE,PLANTA DE GRANDE PORTE
COMPUTADOR,EQUIPAMENTO ELETRONICO
PRAIA,AREA COSTEIRA
CHOCOLATE,DOCE
TELEFONE,DISPOSITIVO DE COMUNICACAO
BICICLETA,VEICULO DE DUAS RODAS
MUSICA,ARTE SONORA
AGUA,LIQUIDO ESSENCIAL
CACHORRO,ANIMAL DOMESTICO
PIZZA,COMIDA ITALIANA
AVIAO,TRANSPORTE AEREO
FUTEBOL,ESPORTE COM BOLA
ESCOLA,INSTITUICAO DE ENSINO
FLOR,PARTE DA PLANTA
TELEVISAO,APARELHO ELETRONICO
SOFA,MOVEL PARA SENTAR
MONTANHA,ELEVACAO NATURAL
RELOGIO,INSTRUMENTO DE MEDIR TEMPO
SAPATO,CALCADO
NARIZ,PARTE DO ROSTO
CHUVA,PRECIPITACAO
PINTURA,FORMA DE ARTE
JANELA,ABERTURA NA PAREDE
LUA,SATELITE NATURAL DA TERRA
DENTISTA,PROFISSIONAL DE SAUDE BUCAL
FILME,PRODUCAO CINEMATOGRAFICA
CHAVE,OBJETO PARA ABRIR FECHADURAS
NUVEM,FORMACAO ATMOSFERICA
PARQUE,AREA DE LAZER
ELEFANTE,ANIMAL DE GRANDE PORTE
PANELA,UTENSILIO DE COZINHA
OCEANO,GRANDE MASSA DE AGUA
GIRASSOL,FLOR AMARELA
MEDICO,PROFISSIONAL DE SAUDE
VIOLAO,INSTRUMENTO MUSICAL
TEATRO,LOCAL DE APRESENTACOES
ARCO-IRIS,FENOMENO OPTICO
ESPELHO,SUPERFICIE REFLEXIVA
SORVETE,SOBREMESA GELADA
TREM,TRANSPORTE FERROVIARIO
LAPIS,INSTRUMENTO DE ESCRITA
ASTRONAUTA,VIAJANTE ESPACIAL
DINHEIRO,MEIO DE PAGAMENTO
FOTOGRAFIA,IMAGEM CAPTURADA
BIBLIOTECA,LOCAL COM MUITOS LIVROS
FOGO,ELEMENTO NATURAL
MACA,FRUTA VERMELHA
CELULAR,TELEFONE MOVEL
TUBARAO,PEIXE PREDADOR
BALAO,OBJETO QUE FLUTUA NO AR
CASTELO,RESIDENCIA FORTIFICADA
OCULOS,ACESSORIO PARA VISAO
AREIA,MATERIAL GRANULAR
ABELHA,INSETO PRODUTOR DE MEL
CHAPEU,ACESSORIO DE CABECA
BARCO,EMBARCACAO
PIANO,INSTRUMENTO MUSICAL DE TECLAS
ESTRELA,CORPO CELESTE LUMINOSO
BORBOLETA,INSETO COLORIDO
CACHOEIRA,QUEDA D'AGUA
ABACAXI,FRUTA TROPICAL
MICROFONE,EQUIPAMENTO DE AUDIO
POLVO,ANIMAL MARINHO
ALGODAO,FIBRA NATURAL
IGLU,MORADIA DE GELO
FOGUETE,VEICULO ESPACIAL
CAVALO,ANIMAL DE MONTARIA
MARTELO,FERRAMENTA DE IMPACTO
PINCEL,UTENSILIO DE PINTURA
MOEDA,PECA METALICA DE DINHEIRO
FANTASMA,SER SOBRENATURAL
GARRAFA,RECIPIENTE PARA LIQUIDOS
COBRA,REPTIL SEM PATAS
TECLADO,CONJUNTO DE TECLAS
DADO,OBJETO DE JOGOS DE AZAR
XICARA,RECIPIENTE PARA BEBIDAS QUENTES
COGUMELO,FUNGO COMESTIVEL
BOLO,SOBREMESA ASSADA
CATEDRAL,IGREJA PRINCIPAL
QUADRO,PINTURA EMOLDURADA
PONTE,ESTRUTURA DE TRAVESSIA
ASTRONOMO,ESTUDIOSO DOS ASTROS
DINOSSAURO,REPTIL PRE-HISTORICO
LANTERNA,FONTE DE LUZ PORTATIL
TESOURA,INSTRUMENTO DE CORTE
COROA,SIMBOLO DE REALEZA
ARANHA,ARACNIDEO
RADIO,APARELHO DE COMUNICACAO
IGUANA,REPTIL TROPICAL
VULCAO,MONTANHA QUE EXPELE LAVA
ESCOVA,OBJETO DE LIMPEZA
PIRATA,LADRAO MARITIMO
MAR,AGUA SALGADA
RIO,AGUA DOCE
PAO,ALIMENTO
CHA,BEBIDA QUENTE
OVO,ALIMENTO
BOI,ANIMAL
UVA,FRUTA
BORBOLETA,INSETO VOADOR
ELEFANTE,ANIMAL GRANDE
BICICLETA,VEICULO
GELADEIRA,ELETRODOMESTICO
GIRASSOL,FLOR AMARELA
HIPOPOTAMO,ANIMAL AQUATICO
VENTILADOR,REFRESCA AR
PAPAGAIO,AVE FALANTE
CROCODILO,REPTIL AQUATICO
GUARDA CHUVA,PROTEGE DA CHUVA
CARANGUEJO,ANIMAL MARINHO
TARTARUGA,REPTIL LENTO
ASTRONAUTA,VIAJANTE ESPACIAL
DINOSSAURO,ANIMAL EXTINTO
ESPANTALHO,AFASTA PASSAROS
LABIRINTO,CAMINHO CONFUSO
BIBLIOTECA,LOCAL DE LIVROS
AMPULHETA,MEDE TEMPO
CATAPORA,DOENCA
CACHOEIRA,QUEDA DAGUA
ASA,PARTE DE AVE
CAO,ANIMAL DOMESTICO
DIA,PERIODO DE LUZ
FIO,LINHA FINA
IMA,ATRAI METAL
LEI,REGRA OFICIAL
MEL,PRODUZIDO POR ABELHAS
OCA,MORADIA INDIGENA
PIA,USADA NA COZINHA
RUA,VIA URBANA
SIM,AFIRMACAO
TOM,QUALIDADE SONORA
VEU,ACESSORIO DE NOIVA
